RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,18.00,44.25
3,AMERICANO,4.00,10.40
4,CAPPUCCINO,7.00,21.35
5,LATTE,8.00,25.20
6,ESPRESSO,1.00,2.45
8,OWN CUP,2.00,4.80
10,ICED CHAI,1.00,3.60
12,HOT CHOCOLATE,3.00,10.65
19,GREEN TEA,0.00,0.00
20,CHAMOMILE,1.00,2.95
24,MISC FOOD,1.00,18.00
27,GF CAKE,1.00,3.25
30,LONG BLACK,1.00,2.85
34,ICED BLACK,0.00,0.00
38,ENGLISH BREAKFAST,1.00,2.95
41,APPLE JUICE,1.00,3.00
54,SPARKLING WATER,2.00,6.00
56,CAW APPLE/PEAR,1.00,1.60
62,MOCHA,2.00,7.10
63,CHAI LATTE,2.00,7.10
66,GARLIC BUTTER,1.00,8.95
67,FRY,2.00,24.00
73,NO CREAM,3.00,0.00
76,PORK WAFFLES,3.00,29.85
77,TURKISH EGGS,2.00,15.90
83,COCONUT WAFFLES,1.00,11.00
100,TOAST,2.00,8.00
101,ESPRESSO MARMALADE,1.00,0.00
103,GINGER MARMALADE,1.00,0.00
112,EXTRA BACON,1.00,1.50
139,COCONUT MILK,1.00,0.00
163,CAKE SLICE,23.00,69.00
168,COOKIE,1.00,3.00
240,BAKED HAM,2.00,17.90
251,ALTITUDE 220,1.00,6.95
253,CAMPBELL STREET 220,1.00,6.95
260,ALTITUDE 1KG,1.00,26.80
341, ICED LATTE,0.00,0.00
342, KALE KICK,1.00,4.60
343,COCO LOCO ,1.00,4.60
402, �3.50 BREAD,2.00,5.25
901,OAT MILK,7.00,0.00
902,DECAF,4.00,0.00
904,EXTRA HOT,4.00,0.00
905,BLACK,3.00,0.00
908,COLD MILK,1.00,0.00
960, TIPS,1.00,1.50

