RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,10.00,31.00
3,AMERICANO,16.00,44.80
4,CAPPUCCINO,12.00,36.80
5,LATTE,11.00,35.20
6,ESPRESSO,1.00,2.50
9,CHEMEX,1.00,3.90
12,HOT CHOCOLATE,1.00,3.55
15,BEETROOT LATTE,1.00,3.70
23,MISC DRINK,1.00,5.90
24,MISC FOOD,1.00,4.95
26,TRUFFLE MUSHROOMS,1.00,9.50
27,GF CAKE,6.00,24.00
38,ENGLISH BREAKFAST,2.00,5.90
57,CAW APPLE/MAN,1.00,1.60
62,MOCHA,2.00,7.60
63,CHAI LATTE,2.00,7.10
66,GARLIC BUTTER,2.00,16.00
67,FRY,3.00,40.50
70,VEGAN FRY,1.00,13.50
71,SYRUP,2.00,0.80
73,NO CREAM,1.00,0.00
76,PORK WAFFLES,1.00,14.00
77,TURKISH EGGS,5.00,42.50
87,BREAKFAST BOWL,2.00,24.00
100,TOAST,4.00,18.00
113,EXTRA EGG,12.00,18.00
124,EXTRA TOAST,3.00,4.50
132,T/A ,3.00,0.00
144,KIDS WAFFLES,1.00,5.50
163,CAKE SLICE,5.00,20.00
165,DOUGHNUTS,1.00,4.00
232,BAC & SAUS BAP,2.00,14.00
251,ALTITUDE 220,2.00,13.90
260,ALTITUDE 1KG,1.00,26.80
342, KALE KICK,1.00,4.60
402, �3.50 BREAD,1.00,3.50
403, �4.00 BREAD,2.00,8.00
901,OAT MILK,0.00,0.00
902,DECAF,4.00,0.00
903,WEAK,2.00,0.00
905,BLACK,4.00,0.00
906,HOT MILK,6.00,0.00
908,COLD MILK,6.00,0.00
920,POACHED,1.00,0.00
921,SCRAMBLED,9.00,0.00
923,FRIED,2.00,0.00
927,JAM,1.00,0.00
930,JUST BUTTER,3.00,0.00
945,HAZELNUT,1.00,0.00
946,CARAMEL,1.00,0.00
949, DAIRY MILK,27.00,0.00
960, TIPS,1.00,4.00
962,GLUTEN FREE,1.00,0.00
964,CELIAC ALLERGY,1.00,0.00

