RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,12.00,37.20
3,AMERICANO,6.00,16.80
4,CAPPUCCINO,5.00,16.00
5,LATTE,11.00,35.20
6,ESPRESSO,1.00,2.50
8,OWN CUP,2.00,4.80
10,ICED CHAI,4.00,14.80
12,HOT CHOCOLATE,2.00,7.10
18,LEMONGRASS,1.00,2.95
20,CHAMOMILE,1.00,2.95
22,EARL GREY,3.00,8.85
26,TRUFFLE MUSHROOMS,3.00,28.50
27,GF CAKE,0.00,0.00
38,ENGLISH BREAKFAST,5.00,11.80
45,LEMONY LEMONADE ,2.00,5.80
54,SPARKLING WATER,1.00,3.00
66,GARLIC BUTTER,1.00,8.00
68,POACHED NECTARINE,1.00,7.00
71,SYRUP,2.00,0.80
73,NO CREAM,2.00,0.00
76,PORK WAFFLES,2.00,28.00
87,BREAKFAST BOWL,1.00,12.00
91,TRUFFLED FRIES,0.00,0.00
98,FRIES,2.00,6.00
100,TOAST,3.00,13.50
112,EXTRA BACON,2.00,4.00
113,EXTRA EGG,4.00,6.00
120,EXTRA SAUSAGE,1.00,2.00
132,T/A ,2.00,0.00§
139,COCONUT MILK,2.00,0.00
163,CAKE SLICE,8.00,32.00
165,DOUGHNUTS,0.00,0.00
168,COOKIE,0.00,0.00
232,BAC & SAUS BAP,9.00,63.00
239,BANANA GRANOLA,2.00,14.00
252,MILL TOWN 220,1.00,6.95
256,ETHIOPIAN 220,0.00,0.00
257,COSTA RICA 220,1.00,7.90
338,COFFEE ORIGIN 2 ,1.00,0.50
341, ICED LATTE,2.00,7.40
342, KALE KICK,1.00,4.60
402, �3.50 BREAD,2.00,7.00
403, �4.00 BREAD,3.00,12.00
901,OAT MILK,2.00,0.00
902,DECAF,4.00,0.00
903,WEAK,1.00,0.00
904,EXTRA HOT,0.00,0.00
905,BLACK,1.00,0.00
906,HOT MILK,3.00,0.00
908,COLD MILK,2.00,0.00
920,POACHED,3.00,0.00
921,SCRAMBLED,1.00,0.00
929,MARMITE,1.00,0.00
930,JUST BUTTER,2.00,0.00
946,CARAMEL,2.00,0.00
949, DAIRY MILK,25.00,0.00

