RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,11.00,31.00
3,AMERICANO,2.00,5.60
4,CAPPUCCINO,2.00,3.20
5,LATTE,5.00,16.00
6,ESPRESSO,1.00,2.50
10,ICED CHAI,3.00,11.10
12,HOT CHOCOLATE,1.00,3.55
24,MISC FOOD,1.00,5.00
26,TRUFFLE MUSHROOMS,1.00,0.00
27,GF CAKE,2.00,8.00
38,ENGLISH BREAKFAST,1.00,2.95
39,MINT TEA,1.00,2.95
41,APPLE JUICE,1.00,3.00
45,LEMONY LEMONADE ,0.00,-2.90
66,GARLIC BUTTER,0.00,-4.00
67,FRY,2.00,27.00
70,VEGAN FRY,1.00,13.50
71,SYRUP,0.00,-0.40
73,NO CREAM,1.00,0.00
76,PORK WAFFLES,0.00,-14.00
77,TURKISH EGGS,2.00,17.00
87,BREAKFAST BOWL,2.00,24.00
98,FRIES,1.00,0.00
100,TOAST,2.00,9.00
101,ESPRESSO MARMALADE,1.00,0.00
103,GINGER MARMALADE,1.00,0.00
104,SAUSAGE ROLL,1.00,8.00
112,EXTRA BACON,1.00,-2.00
113,EXTRA EGG,1.00,1.50
120,EXTRA SAUSAGE,1.00,1.00
139,COCONUT MILK,1.00,0.00
163,CAKE SLICE,18.00,66.00
232,BAC & SAUS BAP,1.00,-3.50
260,ALTITUDE 1KG,1.00,26.80
268,SWISS DECAF 1KG,2.00,26.80
336,COFFEE ORIGIN 1,2.00,0.40
341, ICED LATTE,0.00,-3.70
348,EXTRA AVOCADO,0.00,0.00
402, �3.50 BREAD,1.00,1.75
403, �4.00 BREAD,3.00,12.00
902,DECAF,1.00,0.00
904,EXTRA HOT,2.00,0.00
905,BLACK,1.00,0.00
906,HOT MILK,1.00,0.00
920,POACHED,1.00,0.00
930,JUST BUTTER,0.00,0.00
946,CARAMEL,0.00,0.00
949, DAIRY MILK,6.00,0.00

