RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,1.00,3.10
3,AMERICANO,5.00,14.00
4,CAPPUCCINO,2.00,6.40
8,OWN CUP,3.00,7.20
24,MISC FOOD,2.00,10.00
26,TRUFFLE MUSHROOMS,3.00,28.50
27,GF CAKE,1.00,3.50
30,LONG BLACK,1.00,2.85
34,ICED BLACK,2.00,6.60
42,ICED CHOCOLATE ,3.00,10.80
44,COLA,1.00,2.90
66,GARLIC BUTTER,1.00,8.00
68,POACHED NECTARINE,3.00,21.00
77,TURKISH EGGS,1.00,0.00
84,WEARE KOMBUCHA,4.00,14.80
91,TRUFFLED FRIES,3.00,15.00
104,SAUSAGE ROLL,1.00,8.00
113,EXTRA EGG,2.00,0.00
124,EXTRA TOAST,1.00,0.00
142,KIDS SAUSAGE BEANS,1.00,5.50
144,KIDS WAFFLES,1.00,5.50
163,CAKE SLICE,10.00,35.00
232,BAC & SAUS BAP,4.00,17.50
251,ALTITUDE 220,2.00,13.90
252,MILL TOWN 220,2.00,13.90
253,CAMPBELL STREET 220,2.00,13.90
256,ETHIOPIAN 220,1.00,9.10
341, ICED LATTE,5.00,18.50
342, KALE KICK,1.00,4.60
343,COCO LOCO ,1.00,4.60
345,VANILLA MILKSHAKE ,1.00,4.20
346,CHOCO MILKSHAKE ,2.00,8.40
402, �3.50 BREAD,3.00,10.50
403, �4.00 BREAD,1.00,4.00
424,ORGANIC 220,1.00,7.90
901,OAT MILK,3.00,0.00
903,WEAK,0.00,0.00
905,BLACK,1.00,0.00
906,HOT MILK,1.00,0.00
908,COLD MILK,3.00,0.00
920,POACHED,2.00,0.00

