RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,5.00,15.50
3,AMERICANO,6.00,16.80
4,CAPPUCCINO,5.00,12.80
5,LATTE,4.00,12.80
8,OWN CUP,2.00,4.80
22,EARL GREY,1.00,2.95
23,MISC DRINK,1.00,0.10
24,MISC FOOD,1.00,0.25
26,TRUFFLE MUSHROOMS,6.00,57.00
38,ENGLISH BREAKFAST,3.00,8.85
44,COLA,-2.00,-5.80
45,LEMONY LEMONADE ,1.00,2.90
54,SPARKLING WATER,1.00,3.00
62,MOCHA,2.00,11.40
66,GARLIC BUTTER,1.00,0.00
70,VEGAN FRY,1.00,13.50
76,PORK WAFFLES,2.00,21.00
77,TURKISH EGGS,1.00,8.50
87,BREAKFAST BOWL,2.00,24.00
91,TRUFFLED FRIES,1.00,5.00
98,FRIES,1.00,0.00
120,EXTRA SAUSAGE,2.00,0.00
132,T/A ,1.00,0.00
139,COCONUT MILK,1.00,0.00
148,VEGAN,1.00,0.00
163,CAKE SLICE,4.00,16.00
165,DOUGHNUTS,1.00,4.00
195,BREAD,1.00,3.50
232,BAC & SAUS BAP,6.00,42.00
251,ALTITUDE 220,0.00,0.00
263, RWANDA 1KG,1.00,31.70
287,CAWSTON ELDER,2.00,6.00
336,COFFEE ORIGIN 1,1.00,0.20
402, �3.50 BREAD,4.00,14.00
403, �4.00 BREAD,1.00,4.00
905,BLACK,3.00,0.00
906,HOT MILK,3.00,0.00
949, DAIRY MILK,17.00,0.00
962,GLUTEN FREE,2.00,0.00

