RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,7.00,20.65
3,AMERICANO,9.00,23.40
4,CAPPUCCINO,3.00,9.15
5,LATTE,6.00,18.90
7,MACCHIATO,0.00,0.00
12,HOT CHOCOLATE,5.00,17.75
14,MATCHA LATTE,1.00,3.55
22,EARL GREY,1.00,2.95
26,TRUFFLE MUSHROOMS,2.00,17.00
38,ENGLISH BREAKFAST,5.00,14.75
39,MINT TEA,2.00,5.90
41,APPLE JUICE,2.00,6.00
47,RED WINE,2.00,9.20
62,MOCHA,2.00,7.10
63,CHAI LATTE,3.00,10.65
64,KOMBUCHA,1.00,3.70
66,GARLIC BUTTER,2.00,17.90
67,FRY,4.00,48.00
70,VEGAN FRY,1.00,12.00
72,CREAM,3.00,1.20
73,NO CREAM,2.00,0.00
76,PORK WAFFLES,2.00,19.90
83,COCONUT WAFFLES,9.00,88.00
87,BREAKFAST BOWL,3.00,34.50
91,TRUFFLED FRIES,1.00,5.50
139,COCONUT MILK,1.00,0.00
163,CAKE SLICE,12.00,34.50
240,BAKED HAM,1.00,8.95
253,CAMPBELL STREET 220,3.00,17.37
260,ALTITUDE 1KG,1.00,26.80
342, KALE KICK,1.00,4.60
901,OAT MILK,8.00,0.00
902,DECAF,5.00,0.00
905,BLACK,4.00,0.00
906,HOT MILK,1.00,0.00
908,COLD MILK,4.00,0.00
960, TIPS,1.00,3.25

