RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,12.00,35.40
3,AMERICANO,7.00,18.20
4,CAPPUCCINO,18.00,54.90
5,LATTE,8.00,25.20
10,ICED CHAI,2.00,7.20
12,HOT CHOCOLATE,4.00,14.20
17,BABYCINO,1.00,0.00
18,LEMONGRASS,1.00,2.95
21,FRUIT FUSION,1.00,2.95
22,EARL GREY,4.00,8.84
26,TRUFFLE MUSHROOMS,4.00,34.00
27,GF CAKE,3.00,6.49
30,LONG BLACK,1.00,2.85
38,ENGLISH BREAKFAST,4.00,11.80
44,COLA,2.00,5.80
45,LEMONY LEMONADE ,1.00,2.90
46,GINGERELLA,1.00,2.90
52,WILD BEER,1.00,4.95
55,CAW BERRIES,1.00,1.60
56,CAW APPLE/PEAR,1.00,1.60
61,ORANGE JUICE,1.00,3.00
62,MOCHA,3.00,10.65
63,CHAI LATTE,3.00,10.65
67,FRY,5.00,60.00
68,POACHED NECTARINE,7.00,84.00
70,VEGAN FRY,1.00,12.00
71,SYRUP,2.00,0.80
72,CREAM,1.00,0.40
73,NO CREAM,3.00,0.00
77,TURKISH EGGS,1.00,7.95
83,COCONUT WAFFLES,2.00,22.00
87,BREAKFAST BOWL,4.00,46.00
100,TOAST,3.00,4.00
120,EXTRA SAUSAGE,2.00,0.75
123,GF,1.00,0.00
124,EXTRA TOAST,1.00,0.50
139,COCONUT MILK,1.00,0.00
142,KIDS SAUSAGE BEANS,1.00,4.95
144,KIDS WAFFLES,1.00,4.95
145,KIDS BACON & BEANS,3.00,2.47
163,CAKE SLICE,21.00,63.00
168,COOKIE,0.00,0.00
195,BREAD,0.00,0.00
240,BAKED HAM,2.00,17.90
252,MILL TOWN 220,2.00,13.90
253,CAMPBELL STREET 220,1.00,6.95
268,SWISS DECAF 1KG,1.00,26.80
325,EXTRA HASH BROWN,1.00,1.00
343,COCO LOCO ,0.00,0.00
901,OAT MILK,10.00,0.00
902,DECAF,8.00,0.00
903,WEAK,1.00,0.00
905,BLACK,1.00,0.00
906,HOT MILK,0.00,0.00
908,COLD MILK,6.00,0.00
927,JAM,1.00,0.00
930,JUST BUTTER,2.00,0.00
944,VANILLA,1.00,0.00
946,CARAMEL,1.00,0.00

