RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,8.00,22.86
2,PICCOLO,1.00,2.75
3,AMERICANO,2.00,5.20
4,CAPPUCCINO,11.00,33.55
5,LATTE,15.00,44.10
9,CHEMEX,0.00,0.00
12,HOT CHOCOLATE,7.00,24.85
22,EARL GREY,1.00,2.95
26,TRUFFLE MUSHROOMS,4.00,34.00
27,GF CAKE,2.00,6.50
29,KIDS GRANOLA,2.00,9.90
30,LONG BLACK,3.00,7.11
35,ICED MOCHA,1.00,3.60
38,ENGLISH BREAKFAST,4.00,11.80
46,GINGERELLA,1.00,2.90
54,SPARKLING WATER,1.00,3.00
57,CAW APPLE/MAN,2.00,3.20
63,CHAI LATTE,-1.00,-3.55
66,GARLIC BUTTER,2.00,17.90
67,FRY,5.00,60.00
71,SYRUP,2.00,0.80
72,CREAM,4.00,1.60
73,NO CREAM,3.00,0.00
76,PORK WAFFLES,3.00,27.36
83,COCONUT WAFFLES,0.00,-2.75
87,BREAKFAST BOWL,7.00,77.62
91,TRUFFLED FRIES,3.00,16.50
98,FRIES,1.00,2.25
100,TOAST,-1.00,-4.00
104,SAUSAGE ROLL,5.00,17.50
113,EXTRA EGG,-2.00,-2.00
132,T/A ,5.00,0.00
139,COCONUT MILK,1.00,0.00
142,KIDS SAUSAGE BEANS,2.00,9.90
145,KIDS BACON & BEANS,1.00,4.95
163,CAKE SLICE,19.00,51.00
165,DOUGHNUTS,3.00,12.00
195,BREAD,1.00,3.50
239,BANANA GRANOLA,0.00,0.00
252,MILL TOWN 220,1.00,6.95
256,ETHIOPIAN 220,1.00,9.10
259,SWISS DECAF 220,1.00,6.95
279,175ML RED,0.00,0.00
280,250ML RED,1.00,3.90
281,175ML WHITE,1.00,2.62
342, KALE KICK,2.00,9.20
344, STRAWB MILKSHAKE,1.00,4.10
345,VANILLA MILKSHAKE ,1.00,4.10
346,CHOCO MILKSHAKE ,2.00,8.20
901,OAT MILK,6.00,0.00
902,DECAF,6.00,0.00
905,BLACK,2.00,0.00
921,SCRAMBLED,-2.00,0.00
930,JUST BUTTER,-1.00,0.00
944,VANILLA,2.00,0.00

