RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,17.00,50.15
3,AMERICANO,9.00,23.40
4,CAPPUCCINO,13.00,38.12
5,LATTE,13.00,40.95
6,ESPRESSO,1.00,2.45
7,MACCHIATO,1.00,2.45
8,OWN CUP,1.00,2.40
10,ICED CHAI,1.00,3.60
12,HOT CHOCOLATE,2.00,7.10
19,GREEN TEA,2.00,5.90
24,MISC FOOD,2.00,3.50
26,TRUFFLE MUSHROOMS,2.00,17.00
27,GF CAKE,4.00,13.00
30,LONG BLACK,1.00,2.85
34,ICED BLACK,1.00,3.30
35,ICED MOCHA,2.00,7.20
38,ENGLISH BREAKFAST,6.00,17.70
39,MINT TEA,1.00,2.95
41,APPLE JUICE,5.00,15.00
42,ICED CHOCOLATE ,1.00,3.60
44,COLA,3.00,7.25
46,GINGERELLA,1.00,1.45
54,SPARKLING WATER,1.00,3.00
57,CAW APPLE/MAN,1.00,1.60
61,ORANGE JUICE,1.00,3.00
62,MOCHA,1.00,3.55
66,GARLIC BUTTER,1.00,8.95
67,FRY,14.00,168.00
68,POACHED NECTARINE,7.00,84.00
70,VEGAN FRY,2.00,24.00
71,SYRUP,2.00,0.80
72,CREAM,1.00,0.40
73,NO CREAM,1.00,0.00
77,TURKISH EGGS,2.00,15.90
83,COCONUT WAFFLES,4.00,33.00
87,BREAKFAST BOWL,1.00,11.50
91,TRUFFLED FRIES,2.00,11.00
100,TOAST,5.00,20.00
112,EXTRA BACON,1.00,1.50
113,EXTRA EGG,2.00,2.00
116,EXTRA BEANS,2.00,3.00
120,EXTRA SAUSAGE,1.00,1.50
124,EXTRA TOAST,1.00,0.50
132,T/A ,2.00,0.00
142,KIDS SAUSAGE BEANS,8.00,39.60
144,KIDS WAFFLES,3.00,9.90
145,KIDS BACON & BEANS,3.00,12.37
163,CAKE SLICE,15.00,43.50
165,DOUGHNUTS,5.00,20.00
195,BREAD,0.00,0.00
239,BANANA GRANOLA,1.00,4.95
240,BAKED HAM,1.00,8.95
251,ALTITUDE 220,3.00,20.85
255,HONDURAS 220,1.00,7.90
263, RWANDA 1KG,1.00,31.70
268,SWISS DECAF 1KG,2.00,53.60
288,CAWSTON APPLE,2.00,6.00
331,VOCATION,1.00,4.60
341, ICED LATTE,4.00,13.20
342, KALE KICK,1.00,4.60
343,COCO LOCO ,2.00,9.20
344, STRAWB MILKSHAKE,1.00,4.10
345,VANILLA MILKSHAKE ,1.00,4.10
346,CHOCO MILKSHAKE ,3.00,12.30
403, �4.00 BREAD,1.00,2.00
901,OAT MILK,13.00,0.00
902,DECAF,5.00,0.00
903,WEAK,2.00,0.00
905,BLACK,6.00,0.00
906,HOT MILK,2.00,0.00
908,COLD MILK,1.00,0.00
920,POACHED,2.00,0.00
927,JAM,2.00,0.00
930,JUST BUTTER,3.00,0.00
946,CARAMEL,2.00,0.00
962,GLUTEN FREE,1.00,0.00

