RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,17.00,49.41
3,AMERICANO,12.00,30.55
4,CAPPUCCINO,6.00,18.30
5,LATTE,13.00,40.95
6,ESPRESSO,2.00,4.90
8,OWN CUP,1.00,2.40
12,HOT CHOCOLATE,2.00,7.10
17,BABYCINO,1.00,0.00
19,GREEN TEA,2.00,5.90
23,MISC DRINK,1.00,1.50
24,MISC FOOD,1.00,2.00
27,GF CAKE,4.00,13.00
29,KIDS GRANOLA,1.00,4.95
38,ENGLISH BREAKFAST,5.00,14.75
57,CAW APPLE/MAN,2.00,3.20
61,ORANGE JUICE,4.00,10.50
62,MOCHA,1.00,3.55
67,FRY,5.00,60.00
68,POACHED NECTARINE,3.00,36.00
72,CREAM,1.00,0.40
73,NO CREAM,1.00,0.00
75,VOUCHER SALE,1.00,30.00
77,TURKISH EGGS,1.00,7.95
83,COCONUT WAFFLES,5.00,49.50
87,BREAKFAST BOWL,3.00,34.50
98,FRIES,1.00,3.00
100,TOAST,8.00,32.00
101,ESPRESSO MARMALADE,1.00,0.00
103,GINGER MARMALADE,1.00,0.00
112,EXTRA BACON,1.00,1.50
113,EXTRA EGG,4.00,4.00
132,T/A ,2.00,0.00
139,COCONUT MILK,2.00,0.00
144,KIDS WAFFLES,1.00,4.95
145,KIDS BACON & BEANS,1.00,4.95
163,CAKE SLICE,8.00,24.00
165,DOUGHNUTS,6.00,22.00
168,COOKIE,1.00,3.00
252,MILL TOWN 220,1.00,6.95
261,MILL TOWN 1KG,1.00,26.80
268,SWISS DECAF 1KG,1.00,26.80
338,COFFEE ORIGIN 2 ,0.00,0.00
342, KALE KICK,3.00,13.80
343,COCO LOCO ,2.00,9.20
346,CHOCO MILKSHAKE ,1.00,4.10
400, Miscellaneous gifts,0.00,0.00
403, �4.00 BREAD,1.00,2.00
901,OAT MILK,7.00,0.00
902,DECAF,5.00,0.00
903,WEAK,1.00,0.00
905,BLACK,4.00,0.00
906,HOT MILK,2.00,0.00
908,COLD MILK,5.00,0.00
920,POACHED,2.00,0.00
921,SCRAMBLED,2.00,0.00
927,JAM,1.00,0.00
930,JUST BUTTER,5.00,0.00
962,GLUTEN FREE,1.00,0.00
967,DAIRY ALLERGY,1.00,0.00

