RECORD,NAME,QUANTITY,VALUE
1,FLAT WHITE,19.00,56.05
3,AMERICANO,15.00,39.00
4,CAPPUCCINO,11.00,33.55
5,LATTE,12.00,36.22
10,ICED CHAI,3.00,10.80
12,HOT CHOCOLATE,1.00,3.55
15,BEETROOT LATTE,1.00,3.55
20,CHAMOMILE,2.00,4.42
22,EARL GREY,1.00,2.95
26,TRUFFLE MUSHROOMS,6.00,57.00
30,LONG BLACK,3.00,8.55
38,ENGLISH BREAKFAST,5.00,13.27
40,DECAF TEA,2.00,5.80
46,GINGERELLA,1.00,2.90
62,MOCHA,1.00,3.55
63,CHAI LATTE,3.00,10.65
66,GARLIC BUTTER,1.00,8.00
67,FRY,9.00,121.50
68,POACHED NECTARINE,3.00,17.50
70,VEGAN FRY,3.00,40.50
71,SYRUP,5.00,1.80
73,NO CREAM,1.00,0.00
76,PORK WAFFLES,4.00,56.00
77,TURKISH EGGS,4.00,29.75
83,COCONUT WAFFLES,4.00,42.00
91,TRUFFLED FRIES,1.00,5.00
100,TOAST,9.00,40.50
101,ESPRESSO MARMALADE,2.00,0.00
104,SAUSAGE ROLL,1.00,8.00
113,EXTRA EGG,4.00,6.00
117,EXTRA TOMATO,0.00,0.00
124,EXTRA TOAST,1.00,0.75
132,T/A ,7.00,0.00
142,KIDS SAUSAGE BEANS,1.00,5.50
143,KIDS VEGAN SAUSAGE,2.00,11.00
144,KIDS WAFFLES,2.00,11.00
163,CAKE SLICE,11.00,31.50
179,BREAD & BUTTER,0.00,0.00
232,BAC & SAUS BAP,6.00,42.00
239,BANANA GRANOLA,0.00,0.00
251,ALTITUDE 220,1.00,6.95
252,MILL TOWN 220,5.00,34.75
318,SHEPPYS ORIG,1.00,4.60
336,COFFEE ORIGIN 1,1.00,0.20
341, ICED LATTE,1.00,3.30
343,COCO LOCO ,1.00,4.60
345,VANILLA MILKSHAKE ,1.00,4.10
346,CHOCO MILKSHAKE ,1.00,4.10
348,EXTRA AVOCADO,1.00,1.50
402, �3.50 BREAD,4.00,14.00
901,OAT MILK,17.00,0.00
902,DECAF,4.00,0.00
903,WEAK,1.00,0.00
904,EXTRA HOT,2.00,0.00
905,BLACK,7.00,0.00
906,HOT MILK,5.00,0.00
908,COLD MILK,3.00,0.00
920,POACHED,2.00,0.00
921,SCRAMBLED,2.00,0.00
927,JAM,1.00,0.00
929,MARMITE,0.00,0.00
930,JUST BUTTER,6.00,0.00
944,VANILLA,4.00,0.00
946,CARAMEL,1.00,0.00
960, TIPS,1.00,3.00
962,GLUTEN FREE,1.00,0.00

